ticket_id,org_id,requester_email,subject,category,priority,status,created_date,resolved_date,resolution_days,satisfaction,assigned_agent,reopened
TKT-00001,520521,joao@company001.com,Issue with integration,Billing,High,Open,2024-11-09,2024-11-25,16,,Agente A,False
TKT-00002,520521,julia@company001.com,Issue with performance,Billing,High,Closed,2024-09-21,2024-10-14,23,4,Agente D,False
TKT-00003,520521,pedro@company001.com,Issue with performance,Integration,High,In Progress,2024-07-29,2024-08-27,29,,Agente D,False
TKT-00004,520521,fernanda@company001.com,Issue with data export,Onboarding,Medium,In Progress,2024-07-15,2024-07-26,11,2,Agente C,True
TKT-00005,520521,rafael@company001.com,Issue with report,Integration,Low,Open,2024-12-20,2024-12-24,4,3,Agente A,False
TKT-00006,520521,pedro@company001.com,Issue with dashboard,Billing,Low,Resolved,2024-09-22,2024-10-16,24,,Agente D,False
TKT-00007,520521,lucas@company001.com,Issue with data export,Bug,Low,In Progress,2024-06-17,,,1,Agente C,True
TKT-00008,520521,rafael@company001.com,Issue with data export,Bug,High,In Progress,2024-10-21,2024-10-31,10,,Agente D,False
TKT-00009,520521,fernanda@company001.com,Issue with data export,Performance,Critical,Resolved,2024-12-12,2024-12-15,3,,Agente C,False
TKT-00010,520521,fernanda@company001.com,Issue with report,Billing,Low,Resolved,2024-11-06,2024-11-21,15,3,Agente C,False
TKT-00011,520521,camila@company001.com,Issue with login,Integration,Low,Closed,2024-08-06,,,5,Agente B,True
TKT-00012,520521,ana@company001.com,Issue with integration,Performance,Medium,Resolved,2025-01-31,2025-03-02,30,2,Agente A,False
TKT-00013,520521,ana@company001.com,Issue with data export,Feature Request,Medium,Closed,2024-10-29,2024-10-31,2,,Agente C,False
TKT-00014,520521,maria@company001.com,Issue with billing,Billing,High,Closed,2025-02-02,2025-02-17,15,,Agente B,False
TKT-00015,520521,lucas@company001.com,Issue with integration,Performance,High,Resolved,2024-11-18,2024-11-26,8,5,Agente A,False
TKT-00021,411120,pedro@company002.com,Issue with integration,Integration,Low,Closed,2024-06-24,2024-07-22,28,,Agente D,True
TKT-00022,411120,lucas@company002.com,Issue with integration,Integration,Low,Open,2024-09-05,,,,Agente A,False
TKT-00023,411120,ana@company002.com,Issue with report,Onboarding,Critical,Closed,2025-02-25,,,,Agente A,False
TKT-00061,577110,camila@company004.com.br,Issue with performance,Bug,Low,Open,2024-09-23,,,,Agente B,True
TKT-00062,577110,fernanda@company004.com.br,Issue with login,Feature Request,High,In Progress,2024-11-24,2024-12-13,19,,Agente D,False
TKT-00063,577110,maria@company004.com.br,Issue with data export,Feature Request,Critical,Closed,2025-01-22,2025-01-24,2,2,Agente D,False
TKT-00064,577110,julia@company004.com.br,Issue with login,Integration,Medium,Closed,2024-10-15,2024-10-29,14,2,Agente A,False
TKT-00081,328275,pedro@company005.com.br,Issue with data export,Billing,High,Open,2025-01-22,,,,Agente C,False
TKT-00082,328275,maria@company005.com.br,Issue with data export,Billing,Low,In Progress,2024-12-28,2025-01-08,11,2,Agente C,True
TKT-00083,328275,rafael@company005.com.br,Issue with performance,Integration,Low,Closed,2024-11-07,2024-11-15,8,4,Agente A,False
TKT-00101,543555,rafael@company006.com.br,Issue with data export,Onboarding,High,Closed,2024-10-20,,,,Agente C,True
TKT-00102,543555,pedro@company006.com.br,Issue with login,Performance,High,Open,2025-01-16,2025-01-23,7,1,Agente A,True
TKT-00103,543555,lucas@company006.com.br,Issue with integration,Bug,Critical,Resolved,2025-03-07,,,1,Agente D,False
TKT-00104,543555,julia@company006.com.br,Issue with login,Onboarding,Low,In Progress,2024-11-05,2024-11-10,5,,Agente D,False
TKT-00105,543555,lucas@company006.com.br,Issue with dashboard,Integration,Low,Resolved,2024-10-25,,,2,Agente B,False
TKT-00106,543555,pedro@company006.com.br,Issue with report,Performance,Medium,Open,2024-09-14,,,2,Agente D,False
TKT-00107,543555,lucas@company006.com.br,Issue with billing,Performance,Medium,Closed,2024-10-03,2024-10-19,16,,Agente A,True
TKT-00108,543555,pedro@company006.com.br,Issue with performance,Onboarding,Medium,Open,2025-01-29,2025-02-21,23,,Agente A,False
TKT-00121,360735,maria@company007.com,Issue with login,Onboarding,Low,Resolved,2024-09-03,2024-09-19,16,,Agente C,True
TKT-00122,360735,maria@company007.com,Issue with data export,Bug,Medium,Closed,2024-08-30,2024-09-03,4,,Agente A,False
TKT-00123,360735,pedro@company007.com,Issue with performance,Integration,Medium,Resolved,2024-06-10,,,,Agente C,True
TKT-00124,360735,rafael@company007.com,Issue with integration,Integration,Low,Closed,2024-11-26,2024-12-22,26,4,Agente C,False
TKT-00125,360735,maria@company007.com,Issue with integration,Bug,High,Closed,2024-11-22,2024-12-17,25,,Agente C,False
TKT-00126,360735,fernanda@company007.com,Issue with integration,Onboarding,Critical,Resolved,2024-12-14,2024-12-19,5,,Agente B,False
TKT-00127,360735,carlos@company007.com,Issue with dashboard,Bug,High,In Progress,2025-01-20,2025-01-28,8,4,Agente C,False
TKT-00128,360735,pedro@company007.com,Issue with performance,Integration,Medium,Closed,2024-10-28,2024-11-19,22,2,Agente D,False
TKT-00129,360735,ana@company007.com,Issue with login,Billing,Critical,Open,2024-11-30,2024-12-10,10,5,Agente D,False
TKT-00130,360735,ana@company007.com,Issue with report,Performance,Medium,In Progress,2024-10-01,2024-10-16,15,,Agente A,False
TKT-00131,360735,maria@company007.com,Issue with data export,Billing,Low,Resolved,2024-12-07,2024-12-27,20,3,Agente D,False
TKT-00132,360735,fernanda@company007.com,Issue with report,Bug,Medium,In Progress,2024-10-02,2024-10-24,22,2,Agente B,False
TKT-00133,360735,ana@company007.com,Issue with dashboard,Bug,Medium,Resolved,2024-11-03,2024-11-06,3,,Agente D,False
TKT-00134,360735,joao@company007.com,Issue with integration,Bug,Medium,In Progress,2024-08-15,2024-08-20,5,,Agente A,True
TKT-00135,360735,maria@company007.com,Issue with login,Integration,High,Open,2025-03-09,,,5,Agente B,True
TKT-00141,163556,julia@company008.com,Issue with report,Bug,Low,Open,2024-08-12,2024-08-31,19,,Agente A,False
TKT-00142,163556,rafael@company008.com,Issue with report,Onboarding,Medium,Resolved,2024-12-17,2024-12-29,12,,Agente B,False
TKT-00143,163556,rafael@company008.com,Issue with data export,Feature Request,Medium,In Progress,2024-09-28,,,,Agente C,False
TKT-00161,922157,lucas@company009.co,Issue with data export,Performance,Low,Resolved,2024-10-01,,,,Agente C,True
TKT-00162,922157,rafael@company009.co,Issue with integration,Performance,High,Closed,2024-09-09,,,4,Agente D,False
TKT-00163,922157,pedro@company009.co,Issue with billing,Bug,Medium,Resolved,2024-10-28,,,4,Agente A,False
TKT-00164,922157,fernanda@company009.co,Issue with login,Integration,High,Open,2024-11-07,2024-11-24,17,,Agente D,True
TKT-00181,609231,fernanda@company010.com,Issue with integration,Feature Request,Medium,In Progress,2024-10-10,2024-10-24,14,,Agente D,False
TKT-00182,609231,rafael@company010.com,Issue with report,Bug,Critical,Resolved,2025-02-23,2025-03-24,29,1,Agente D,False
